017000008001010040000342        .005    
017000056001010040000342        .008    
017030099001010040000342        .007    
017193043001010040000342         .03    
017390151001010040000342        .009    
017390152001010040000342        .015    
017390165001010040000342        .012    
017390166001010040000342        .005    
017390185001010040000342        .003    
017390186001010040000342        .022    
017390195001010040000342        .002    
017390201001010040000342         .01    
017390206001010040000342        .011    
017490204001010040000342        .003    
017490316001010040000342        .027    
017490352011010040000342        .304    
017490353001010040000342        .059    
017490417001010040000342        .021    
017490464011010040000342         .49    
017490483001010040000342        .002    
017490531001010040000342        .005    
017490546001010040000342        .005    
017490705001010040000342        .006    
017495013001010040000342        .186    
017495063001010040000342        .255    
017495132001010040000342        .265    
017495157001010040000342        .002    
017495162001010040000342        .196    
017690226001010040000342        .004    
017690411001010040000342        .003    
017690445001010040000342        .024    
017690487001010040000342        .004    
062650382001010040000342           1    
062650839021010040000342           5    
062650947011010040000342           5    
062660146001010040000342           1    
062710136001010040000342          .2    
062710303011010040000342          .1    
062710322001010040000342          .2    
062830083001010040000342          .1    
072710137001010040000342           5    
072750011001010040000342         .14    
078670608001010040000342        .196    
078720001001010040000342         100    
017690622001012707431242         .01    
017691390001012707431242         .03    
062650382001012707431242         .12    
062650387001012707431242        .015    
062650388001012707431242        .015    
062650389001012707431242        .015    
062650456001012707431242        .015    
062650801011012707431242         .12    
062650802001012707431242         .03    
062650811001012707431242         .03    
062650839021012707431242         .12    
062650946001012707431242        .015    
062650947011012707431242         .12    
062650968011012707431242        .015    
062660146001012707431242         .03    
062660219001012707431242        .015    
062710136001012707431242         .03    
062710224001012707431242         .03    
062710303011012707431242         .03    
062710322001012707431242         .03    
062830083001012707431242         .03    
072710137001012707431242         .15    
072710161001012707431242         .03    
072720293001012707431242         .03    
072750011001012707431242        .015    
078670494001012707431242        .015    
078670495001012707431242        .015    
078670608001012707431242         .03    
078670611001012707431242        .015    
078720001001012707431242          .5    
078740003001012707431242         .03    
079670192001012707431242        .015    
079710015001012707431242        .015    
079710292001012707431242        .015    
079710609001012707431242         .12    
079710808001012707431242         .03    
079710883001012707431242        .015    
017691390001012760130042          .3    
062650382001012760130042          .2    
062650839021012760130042          .4    
062650947011012760130042          .4    
062660146001012760130042         .15    
062710322001012760130042         .05    
721101601791012760130042        .005    
017193119001012760140042         .05    
017690622001012760140042         .15    
017691390001012760140042          .1    
062650382001012760140042          .3    
062650839021012760140042          .5    
062650947011012760140042          .5    
062660146001012760140042          .2    
721101601791012760140042        .005    
017691390001012760150042         .16    
062650839021012760150042          .3    
062650947011012760150042          .3    
072750011001012760230042         .04    
078670608001012760230042         .04    
079260239001012760230042        .005    
079710609001012760230042         .08    
721500300791012760230042        .005    
072750011001012760240042         .03    
078670608001012760240042         .03    
079260239001012760240042        .005    
079710609001012760240042         .06    
721500300791012760240042        .005    
072710137001012760250042          .2    
078720001001012760250042           3    
078720001001012760280042         1.5    
017193043001012772015042       .0025    
017390151001012772015042        .001    
017390152001012772015042        .001    
017390186001012772015042       .0005    
017390186001012772020042       .0015    
017390206001012772020042       .0005    
017690445001012772020042        .002    
062010201001012772020042         .01    
062010202001012772020042         .01    
062570036001012772020042         .01    
072720253001012772020042       .0025    
072720254001012772020042       .0025    
017490352011012772115042        .002    
017490464011012772115042        .005    
017490352011012772120042         .01    
017490353001012772120042        .005    
017490464011012772120042        .025    
062650516001012773720042        .015    
072750033001012773720042       .0017    
072750034001012773720042       .0016    
078740001001012773720042       .0095    
079710857001012773720042        .011    
079710859001012773720042       .0095    
079710908001012773720042       .0087    
079710915001012773720042       .0013    
079710958001012773720042       .0017    
062650204001012784620042        .015    
062650305001012784620042        .015    
062650871011012784620042        .005    
062650877001012784620042        .005    
017495063001012809620042        .015    
017495132001012809620042        .015    
017690622001013150600042          .3    
017691390001013150600042          .3    
062650382001013150600042        1.55    
062650387001013150600042        .008    
062650388001013150600042        .015    
062650389001013150600042        .015    
062650456001013150600042        .011    
062650801011013150600042        .458    
062650802001013150600042        .138    
062650811001013150600042        .133    
062650839021013150600042        3.95    
062650946001013150600042        .011    
062650947011013150600042        3.95    
062650968011013150600042        .009    
062660146001013150600042         .35    
062660219001013150600042        .009    
062710136001013150600042        .116    
062710224001013150600042          .7    
062710303011013150600042        .095    
062710322001013150600042         .17    
062830083001013150600042         .02    
072710137001013150600042         3.5    
072710161001013150600042        .411    
072720293001013150600042        .445    
072750011001013150600042        .158    
078670494001013150600042        .058    
078670495001013150600042        .062    
078670608001013150600042        .223    
078670611001013150600042         .11    
078720001001013150600042          14    
078740003001013150600042        .336    
079670192001013150600042        .039    
079710015001013150600042        .029    
079710292001013150600042        .029    
079710609001013150600042       3.494    
079710808001013150600042        .223    
079710883001013150600042        .224    
017690622001013151500042        .965    
017691390001013151500042        .905    
062650382001013151500042         3.1    
062650387001013151500042        .016    
062650388001013151500042        .027    
062650389001013151500042        .027    
062650456001013151500042        .022    
062650801011013151500042        .917    
062650802001013151500042        .276    
062650811001013151500042        .266    
062650839021013151500042        7.91    
062650946001013151500042        .022    
062650947011013151500042        7.91    
062650968011013151500042        .018    
062660146001013151500042        .695    
062660219001013151500042        .018    
062710136001013151500042        .232    
062710224001013151500042        .138    
062710303011013151500042         .19    
062710322001013151500042         .34    
062830083001013151500042        .042    
072710137001013151500042         7.7    
072710161001013151500042        .929    
072720293001013151500042        .847    
072750011001013151500042        .356    
078670494001013151500042        .111    
078670495001013151500042        .117    
078670608001013151500042        .524    
078670611001013151500042        .209    
078720001001013151500042          27    
078740003001013151500042        .758    
079670192001013151500042        .077    
079710015001013151500042        .055    
079710292001013151500042        .055    
079710609001013151500042       7.893    
079710808001013151500042        .597    
079710883001013151500042        .477    
062650946001013155000042       .0012    
017690622001013155500042         .08    
017691390001013155500042         .08    
062650382001013155500042        .175    
062650387001013155500042       .0005    
062650388001013155500042        .001    
062650389001013155500042        .001    
062650456001013155500042        .001    
062650801011013155500042        .045    
062650802001013155500042        .013    
062650811001013155500042        .012    
062650839021013155500042        .527    
062650947011013155500042        .527    
062650968011013155500042       .0007    
062660146001013155500042        .042    
062660219001013155500042       .0007    
062710136001013155500042        .014    
062710224001013155500042        .005    
062710303011013155500042        .014    
062710322001013155500042        .024    
062830083001013155500042        .002    
072710137001013155500042         1.5    
072710161001013155500042        .123    
072720293001013155500042        .185    
072750011001013155500042        .071    
078670494001013155500042        .015    
078670495001013155500042        .023    
078670608001013155500042        .088    
078670611001013155500042        .045    
078720001001013155500042           4    
078740003001013155500042        .008    
079670192001013155500042        .008    
079710015001013155500042        .007    
079710292001013155500042        .005    
079710609001013155500042           1    
079710808001013155500042        .088    
079710883001013155500042         .14    
017690622001013156100042         .05    
017691390001013156100042         .05    
062650382001013156100042        .163    
062650387001013156100042       .0008    
062650388001013156100042        .001    
062650389001013156100042        .001    
062650456001013156100042        .001    
062650801011013156100042        .048    
062650802001013156100042        .014    
062650811001013156100042        .014    
062650839021013156100042        .416    
062650946001013156100042        .001    
062650947011013156100042        .416    
062650968011013156100042        .001    
062660146001013156100042        .037    
062660219001013156100042        .001    
062710136001013156100042        .012    
062710224001013156100042        .007    
062710303011013156100042         .01    
062710322001013156100042        .018    
062830083001013156100042        .002    
072710137001013156100042         1.1    
072710161001013156100042        .133    
072720293001013156100042        .121    
072750011001013156100042        .051    
078670494001013156100042        .016    
078670495001013156100042        .017    
078670608001013156100042        .075    
078670611001013156100042         .03    
078720001001013156100042        3.85    
078740003001013156100042        .108    
079670192001013156100042        .011    
079710015001013156100042        .008    
079710292001013156100042        .008    
079710609001013156100042       1.128    
079710808001013156100042        .077    
079710883001013156100042        .068    
017690622001013157000042        .001    
017691390001013157000042        .019    
062650382001013157000042        .005    
062650839021013157000042         .01    
062650947011013157000042         .01    
062660146001013157000042        .001    
072710137001013157000042         .05    
072750011001013157000042        .005    
078670608001013157000042        .005    
078720001001013157000042         .25    
079710609001013157000042         .02    
062650801011013157200042          .3    
072710137001013157200042          25    
078720001001013157200042           5    
079710609001013157200042          25    
017000015001013280200042        .007    
017000017001013280200042        .007    
017193119001013280200042         .03    
017490178001013280200042        .008    
017490352011013280200042      .00012    
017490443001013280200042        .005    
017490464011013280200042      .00012    
017690473001013280200042        .005    
017790001001013280200042        .005    
017790002001013280200042        .005    
017790006001013280200042        .008    
017495063001013580015342      .00005    
017495132001013580015342      .00005    
072720253001013580018142      .00006    
072720254001013580018142      .00006    
072750033001013580018142       .0002    
