99500000001100173900621123110112-812-123-812-104-812-123                                                                                                                                            1   
001719110001001739010001381138-104-10409-138-81320-120                                                                                                                                              1   
001719110011001739010001381138-104-10409-138-81320-120                                                                                                                                              1   
001719110021001739010001381138-104-10409-138-81320-120                                                                                                                                              1   
017190740041001739010001381138-104-10409-138-81320-120                                                                                                                                              1   
017190740061001739010001381138-104-10409-138-81320-120                                                                                                                                              1   
017190740101001739010001381138-104-10409-138-81320-120                                                                                                                                              1   
317190740061001739010001381138-104-10409-138-81320-120                                                                                                                                              1   
941500014001001739010001381138-104-10409-138-850                                                                                                                                                        
995000000011001739010001381138-104-10409-138-81320-120                                                                                                                                              1   
001739010021001739010011381138-10125-138-10125-138-13123-138                                                                                                                                        1   
001739010031001739010021381138-10125-138-10125-816-138-816-138                                                                                                                                      1   
001739010001001739010031381138-816-138                                                                                                                                                              1   
001719110711001739010771381120-138-10409-138-120                                                                                                                                                    1   
001719110721001739010771381120-138-10409-138-120                                                                                                                                                    1   
001719110771001739010771381120-138-10409-138-120                                                                                                                                                    1   
017190740741001739010771381120-138-10409-138-120                                                                                                                                                    1   
001719110001001749010001201120                                                                                                                                                                      1   
001719110011001749010001201120                                                                                                                                                                      1   
001719110021001749010001201120                                                                                                                                                                      1   
017190740041001749010001201120                                                                                                                                                                      1   
017190740061001749010001201120                                                                                                                                                                      1   
017190740101001749010001201120                                                                                                                                                                      1   
941500014001001749010001201120-850                                                                                                                                                                      
001719110711001749010771201120                                                                                                                                                                      1   
001719110721001749010771201120                                                                                                                                                                      1   
001719110771001749010771201120                                                                                                                                                                      1   
017190740741001749010771201120                                                                                                                                                                      1   
001769020111001769003001341101-10125-101-814-134-10439-134                                                                                                                                          1   
001769020131001769003001341101-10125-101-814-134-10439-134                                                                                                                                          1   
001769020771001769003001341101-10125-101-814-134-10439-134                                                                                                                                         .1   
941500014001001769003001341101-10125-101-814-134-10439-850                                                                                                                                              
001769020711001769003771341120-134-120                                                                                                                                                              1   
00176908000100176900500138110112-814-138-10409-138                                                                                                                                                  1   
00176908000100176900700138110112-814-138-10409-138                                                                                                                                                  1   
00176909000100176901200138110112-814-138                                                                                                                                                            1   
00176908000100176901201138110112-814-138                                                                                                                                                            1   
00171911000100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
00171911001100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
00171911002100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
00171911071100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
00171911072100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
00171911077100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
01719074004100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
01719074006100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
01719074010100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
01719074074100176901500122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          0   
94150001400100176901500122110102-104-812-122-12204-122-812-10409-850                                                                                                                                    
00176907000100176901600138110112-814-138                                                                                                                                                            1   
00176909000100176901600138110112-814-138                                                                                                                                                            1   
11747015000100176901600138110112-814-138                                                                                                                                                            1   
11747016000100176901600138110112-814-138                                                                                                                                                            1   
00176907000100176901601138110112-814-138                                                                                                                                                            1   
00176908000100176901601138110112-814-138                                                                                                                                                            1   
11747015000100176901601138110112-814-138                                                                                                                                                            1   
11747016000100176901601138110112-814-138                                                                                                                                                            1   
00176908000100176901700138110112-814-138                                                                                                                                                            1   
00176909000100176901800138110112-814-138-10409-138                                                                                                                                                  1   
00176909000100176901900138110112-814-138-10409-138                                                                                                                                                  1   
001719110001001769020001341134-81320-120                                                                                                                                                            1   
001719110011001769020001341134-81320-120                                                                                                                                                            1   
001719110021001769020001341134-81320-120                                                                                                                                                            1   
941500014001001769020001341134-850                                                                                                                                                                      
017190740041001769020011341134-81320-120                                                                                                                                                            1   
017190740061001769020011341134-81320-120                                                                                                                                                            1   
017190740101001769020011341134-81320-120                                                                                                                                                            1   
317190740061001769020011341134-81320-120                                                                                                                                                            1   
001769020001001769020111341134-10437-134-10439-10409-134                                                                                                                                            1   
